course_id,requirement_id,program_title,program_type
CSCI 15000,CSMJR,Computer Science,BA
CSCI 24500,CSMJR,Computer Science,BA
CSCI 34000,CSMJR,Computer Science,BA
CSCI 12700,CSMJR,Computer Science,BA
CSCI 12700,SW,Computer Science,BA
ENGL 22000,EC,English Language Arts,BA
WGS 10000,GC,Women and Gender Studies,BA
WGS 10000,I&S SS,Women and Gender Studies,BA
STAT 21300,MQR,Statistics,BA
CLA 25000,CLAMJR,Classical Studies,BA
CHEM 10200,LPS,Chemistry,BA
CHEM 10200,SW,Chemistry,BA
CHEM 10400,LPS,Chemistry,BA
CHEM 10400,SW,Chemistry,BA
CHEM 22200,CHEMMJR,Chemistry,BA
CHEM 22400,CHEMMJR,Chemistry,BA
SOC 10100,SOCMJR,Sociology,BA
SOC 10100,I&S SS,Sociology,BA
SOC 24000,SOCMJR,Sociology,BA
SOC 24100,SOCMJR,Sociology,BA
ACC 27100,ACCTMJR,Accounting,BS
ACC 27200,ACCTMJR,Accounting,BS
ACC 37100,ACCTMJR,Accounting,BS
PSYCH 10000,PSYCHMJR,Psychology,BA
PSYCH 24800,PSYCHMJR,Psychology,BA
PSYCH 24900,PSYCHMJR,Psychology,BA
GSR 70800,SOCMS,Social Research,MS
GSR 70900,SOCMS,Social Research,MS
GSR 71000,SOCMS,Social Research,MS
MATH 12500,MQR,Mathematics,BA
MATH 15000,MQR,Mathematics,BA
MATH 15500,MQR,Mathematics,BA
FILM 10100,FMJR,Film,BA
FILM 16000,FMJR,Film,BA
FILM 20100,FMJR,Film,BA
STAT 21200,STATMJR,Statistics,BA
STAT 21400,STATMJR,Statistics,BA
ECO 10000,I&S SS,Economics,BA
ECO 10000,ECOMJR,Economics,BA
ECO 10000,ACCTMJR,Economics,BA